Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude,Longtitute
N A132 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-22767b)",(63.4305 ; 10.4010),,,M 1175-1275,,,trä,trä,pinne,63.4305,10.401
N A133 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-22970)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
N A134 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-23173)",(63.4305 ; 10.4010),,,M 1175-1275,,,trä,trä,märklapp,63.4305,10.401
N A135 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-23177)",(63.4305 ; 10.4010),,,M 1175-1275,,,trä,trä,märklapp,63.4305,10.401
N A136 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-23247)",(63.4305 ; 10.4010),,,M 1175-1275,,,trä,trä,pinne,63.4305,10.401
N A137 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-23249)",(63.4305 ; 10.4010),,,M 1175-1275,,,trä,trä,pinne,63.4305,10.401
N A138 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-23450)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
N A139 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-25335)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,runkavel,63.4305,10.401
N A140 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-25366)",(63.4305 ; 10.4010),,,M 1175-1275,,,trä,trä,trästycke,63.4305,10.401
N A141 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-25735)",(63.4305 ; 10.4010),,,M 1175-1225,,,trä,trä,träskaft,63.4305,10.401
N A142 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-25803)",(63.4305 ; 10.4010),,,M 1175-1225,,,trä,trä,"runkavel, pinne",63.4305,10.401
N A143 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-25804)",(63.4305 ; 10.4010),,,M 1175-1225,,,ben/horn,ben,skridskor,63.4305,10.401
N A144 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-25914)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
N A145 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-25959)",(63.4305 ; 10.4010),,,M 1175-1225,,,trä,trä,"runkavel, pinne",63.4305,10.401
N A146 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-26118)",(63.4305 ; 10.4010),,,M 1175-1225,,,trä,trä,pilspets,63.4305,10.401
N A147 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-26151)",(63.4305 ; 10.4010),,,M 1175-1275,,,trä,trä,märklapp,63.4305,10.401
N A148 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-26167)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
N A149 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-26357)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,trästycke,63.4305,10.401
N A150 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-26365)",(63.4305 ; 10.4010),,,M 1275-1325,,,trä,trä,runkavel,63.4305,10.401
N A151 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-26379)",(63.4305 ; 10.4010),,,M 1200-t - b 1300-t,,,trä,trä,handtag av träsvärd,63.4305,10.401
N A152 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-26714)",(63.4305 ; 10.4010),,,M 1150-1225,,,trä,trä,märklapp,63.4305,10.401
N A153 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-26747)",(63.4305 ; 10.4010),,,M 1150-1225,,,trä,trä,runkavel,63.4305,10.401
N A154 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-27122)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,kors,63.4305,10.401
N A155 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-27544)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,sländtrissa,63.4305,10.401
N A156 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-27723)",(63.4305 ; 10.4010),,,M 1150-1200,,,trä,trä,runkavel,63.4305,10.401
N A157 $M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-28109)",(63.4305 ; 10.4010),,,M 1225-1275,,,metall,bly,kors,63.4305,10.401
N A158 M ,"Folkebibliotekstomta, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Vitenskapsmuseet, NTNU (N-28877)",(63.4305 ; 10.4010),,,M 1225-1275,,,trä,trä,märklapp,63.4305,10.401
