Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitude_orig,Longtitude_orig,Latitude_add,Longtitude_add,Latitude_mix,Longtitute_mix
U NOR1996;19 $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612350.161,,,V/M,,,ben/horn,ben,"runben, revben",59.63132196,,59.6165,17.7235,59.63132196,17.7235
U NOR1997;27A $ ,Ulva kvarn,Gamla Uppsala sn (nu Uppsala),Vaksala ,Uppsala,,6645027.16,,,V,Pr3 - Pr4? [Gräslund muntligt],,sten,mörkgrå granit,fragment av runsten,59.92450203,,59.8586,17.6389,59.92450203,17.6389
U NOR1997;27B  ,Kalvshälla,Järfälla sn,Sollentuna ,Järfälla,Stockholms länsmuseum,6589685.162,,,V,,,sten,gråspräcklig granit,3 fragment av runsten,59.42787212,,59.414,17.8354,59.42787212,17.8354
U NOR1997;29A  ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V/M,,,ben/horn,ben,"runben, revben",59.62987744,,59.6165,17.7235,59.62987744,17.7235
U NOR1997;29B M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.62984454,,59.6165,17.7235,59.62984454,17.7235
U NOR1997;29C M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.62981161,,59.6165,17.7235,59.62981161,17.7235
U NOR1997;29D M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1200-1250,,,ben/horn,ben,"runben, revben",59.62977865,,59.6165,17.7235,59.62977865,17.7235
U NOR1997;29E M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1200-t,,,ben/horn,ben,"runben, revben",59.62974566,,59.6165,17.7235,59.62974566,17.7235
U NOR1997;29F M ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,M 1100-t,,,ben/horn,ben,"runben, revben",59.62971264,,59.6165,17.7235,59.62971264,17.7235
U NOR1997;29G $ ,Sigtuna,Sigtuna,,Sigtuna,Sigtuna museum,6612200.161,,,V 1000-t - b 1100-t,,,ben/horn,ben,"runben, revben",59.62967959,,59.6165,17.7235,59.62967959,17.7235
