Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
FR 2 $M ,Sandavágur,Sandavágur,Vágar sýsla,Vága,Sandavágur kirke,,,,M ca 1200 eller lite senare,,,sten,sten,sten,,
FR 3 $M ,"Durhús, Eiði",Eiði,Eysturoy sýsla,Eiðis,"Føroya Fornminnissavn, Tórshavn (SNR 4401/530)",,,,M,,,trä,trä,pinne,,
FR 4 $ ,"Durhús, Eiði",Eiði,Eysturoy sýsla,Eiðis,"Føroya Fornminnissavn, Tórshavn (SNR 4401/552)",,kortkvist,,V,,,trä,trä,pinne,,
FR 5 $M ,Skúvoy,Skúvoy,Sandoy sýsla,Skúvoyar,"Føroya Fornminnissavn, Tórshavn (SNR 4676)",,,A1; ?; 0; D1; 0; F3; ? [Klassificerad av redaktionen],M,,,sten,basalt,fragment av gravhäll,,
FR 6 $M ,Kirkjubøur,Kirkjubøur,Streymoy sýsla,Tórshavnar,"Føroya Fornminnissavn, Tórshavn",,,,M,,,trä,trä,korstol,,
FR 7 M ,"Leirvík, Uppistovubeiti",Leirvík,Eysturoy sýsla,Eystur,"Føroya Fornminnissavn, Tórshavn (SNR 4815/127)",,,,M,,,sten,basalt,sten,,
FR 8 $M ,"Leirvík, Uppistovubeiti",Leirvík,Eysturoy sýsla,Eystur,"Føroya Fornminnissavn, Tórshavn (SNR:4815/1294)",,långkvist-s,,M,,,trä,trä,pinne,,
FR 9 M ,Froðba kirkja,Tvøroyri,Suðuroy sýsla,Tvøroyrar,"Føroya Fornminnissavn, Tórshavn",,,,M,,,sten,,byggnadssten,,
GR 1 M ,Kingittorsuaq,,,Qaasuitsup,"Nationalmuseet, København (MCCXII, A 712)",,"e-runorna med ring, runa 1 dessutom två punkter i ringen, punkterade s-runor",,M,,,sten,fyllit,sten,,
GR 2 M ,Qassiarsuk/Brattahlid (Ø 29a),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D11181)",,,,M,,,sten,sandsten,gravhäll,,
GR 3 $M ,Napasut (M 6a),,Mellembygd (Grönland),Sermersooq,"Nationalmuseet, København (D9130)",,,,M,,,sten,granatamfibolit,gravsten,,
GR 4 M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (MMCXXXV)",,speciell ð-runa,,M,,,sten,sandsten,gravhäll,,
GR 5 $M ,Igaliku/Gardar (Ø 47),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D 81/2009)",,,,M,,,sten,,fragment av gravhäll,,
GR 6 M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (NM D 12208), deponeret i Forhistorisk Museum Moesgård",,,,M,,,trä,trä,kors,,
GR 7 M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (NM D 5935)",,,,M,,,trä,trä,kors,,
GR 8 M ,Ikigaat/Herjolfsnes (Ø 111),,Østerbygd (Grönland),Kujalleq,"Nationalmuseet, København (D10633)",,stungna u-runor (Y),,M,,,trä,trä,kors,,
