Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Latitute,Langitute
N 381 M ,Borgund kirke,Borgund sn,Sogn og Fjordane fylke,Lærdal,,(61.0472 ; 7.8123),,,M,,,trä,trä,träinskrift,61.0472,7.8123
N 382 M ,Borgund kirke,Borgund sn,Sogn og Fjordane fylke,Lærdal,,(61.0472 ; 7.8123),,,M,,,trä,trä,träinskrift,61.0472,7.8123
N 383 M ,Borgund kirke,Borgund sn,Sogn og Fjordane fylke,Lærdal,,(61.0472 ; 7.8123),,,M,,,trä,trä,träinskrift,61.0472,7.8123
N 384 M ,Stedje kirke,Stedje sn,Sogn og Fjordane fylke,Sogndal,Bergens museum,(61.2266 ; 7.0956),,,M ca 1175,,,trä,trä,träinskrift,61.2266,7.0956
N 385 M ,Stedje kirke,Stedje sn,Sogn og Fjordane fylke,Sogndal,Bergens museum,(61.2266 ; 7.0956),,,M,,,trä,trä,träinskrift,61.2266,7.0956
N 386 M ,Stedje,Stedje sn,Sogn og Fjordane fylke,Sogndal,,,,,M ca 1100,,,sten,grå gnejs,runsten,,
N 387 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,träinskrift,61.1842,7.2334
N 388 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,träinskrift,61.1842,7.2334
N 389 M ,Kaupanger kirke,Kaupanger sn,Sogn og Fjordane fylke,Sogndal,,(61.1842 ; 7.2334),,,M,,,trä,trä,träinskrift,61.1842,7.2334
N 390 †M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,sten,,gravhäll,61.0775,6.569
N 391 †M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,sten,,gravhäll,61.0775,6.569
N 392 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 393 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M ca 1150,,,trä,trä,träinskrift,61.0775,6.569
N 394 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 395 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 396 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 397 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 398 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 399 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 400 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 401 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 402 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 403 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 404 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 405 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 406 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 407 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 408 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 409 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 410 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 411 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 412 M ,Hopperstad kirke,Vik sn,Sogn og Fjordane fylke,Vik,,(61.0775 ; 6.5690),,,M,,,trä,trä,träinskrift,61.0775,6.569
N 413 † ,Kvamme,Balestrand sn (Kvamsøy),Sogn og Fjordane fylke,Balestrand,,,,,V b 1000-t,,,sten,,runsten,,
N 414 M ,Kinn kirke,Kinn sn,Sogn og Fjordane fylke,Flora,,(61.5665 ; 4.7575),,,M?,,,sten,,mursten,61.5665,4.7575
N 415 M ,Kinn kirke,Kinn sn,Sogn og Fjordane fylke,Flora,,(61.5665 ; 4.7575),,,M?,,,sten,,mursten,61.5665,4.7575
N 416 M ,Kinn kirke,Kinn sn,Sogn og Fjordane fylke,Flora,,(61.5665 ; 4.7575),,,M?,,,sten,,mursten,61.5665,4.7575
N 417  ,Svanøy kirke,Svanøy sn,Sogn og Fjordane fylke,Flora,,(61.4937 ; 5.1327),,A1; B2; 0; D1; E9; F3; G4,V b 1000-t,?,,sten,,stenkors,61.4937,5.1327
N 418 M ,Selje kloster,Selje sn,Sogn og Fjordane fylke,Selje,,(62.0511 ; 5.2969),,,M?,,,sten,täljsten,gravhäll,62.0511,5.2969
N 419 M ,Selje kloster,Selje sn,Sogn og Fjordane fylke,Selje,Bergens museum,(62.0511 ; 5.2969),,,M,,,sten,,runsten,62.0511,5.2969
N 420 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 421 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 422 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 423 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 424 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 425 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 426 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 427 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 428 M ,Hennøy,Rugsund sn,Sogn og Fjordane fylke,Bremanger,,,,,M,,,sten,grönaktig sandsten,stenblock,,
N 429 M ,Eid kapell?,Eid sn,Sogn og Fjordane fylke,Eid,Oldsaksamlingen (nr. 424),,,,M,,,metall,,nyckel med handtag av gammal dörring,,
N 430 M ,"Hjelmeset, Anda",Vereid sn,Sogn og Fjordane fylke,Gloppen,,,,,M 1200-t,,,sten,,stenblock,,
N 431  ,"Hjelmeset, Anda",Vereid sn,Sogn og Fjordane fylke,Gloppen,,,,,V 900-1000-t,,,sten,,stenblock,,
N 432 M ,"Hjelmeset, Anda",Vereid sn,Sogn og Fjordane fylke,Gloppen,,,,,M?,,,sten,,stenblock,,
N 433 M ,Sætre,Vartdal sn,Møre og Romsdal fylke,Ørsta,Sunnmøre museum,,,,M?,,,sten,täljsten,sländhjul,,
N 434 †M ,Hjørundfjord prestegård,Hjørundfjord sn,Møre og Romsdal fylke,Ørsta,,,,,M,,,ben/horn,horn,dryckeshorn,,
N 435 M ,Borgund,Borgund sn,Møre og Romsdal fylke,Ålesund,Ålesund museum,,,,M,,,puts,kalkputs,putsinskrift,,
N 436 M ,Borgund,Borgund sn,Møre og Romsdal fylke,Ålesund,Sunnmøre museum,,,,M,,,trä,trä,vävkniv,,
N 437 M ,Borgund,Borgund sn,Møre og Romsdal fylke,Ålesund,Sunnmøre museum,,,,M,,,sten,,gravhäll,,
N 438 M ,Borgund,Borgund sn,Møre og Romsdal fylke,Ålesund,Sunnmøre museum,,,,M,,,sten,täljsten,trekantig platta,,
N 439 M ,Borgund,Borgund sn,Møre og Romsdal fylke,Ålesund,Sunnmøre museum,,,,M,,,trä,trä,planka,,
N 440 M ,Giske kirke,Giske sn,Møre og Romsdal fylke,Giske,,(62.4987; 6.0503),,,M,,,sten,marmor,gravhäll,62.4987,6.0503
N 441 †M ,Giske,Giske sn,Møre og Romsdal fylke,Giske,,,,,M,,,sten,,stenkors,,
N 442 † ,Lærheim,Eid og Holm sn,Møre og Romsdal fylke,Rauma,,,,,V,?,,sten,,runsten,,
N 443 M ,Rødven kirke,Eid og Holm sn,Møre og Romsdal fylke,Rauma,,(62.6242 ; 7.4937),,,M,,,trä,trä,träinskrift,62.6242,7.4937
N 444 M ,Rødven kirke,Eid og Holm sn,Møre og Romsdal fylke,Rauma,,(62.6242 ; 7.4937),,,M,,,trä,trä,träinskrift,62.6242,7.4937
N 445 M ,Rødven kirke,Eid og Holm sn,Møre og Romsdal fylke,Rauma,,(62.6242 ; 7.4937),,,M,,,trä,trä,träinskrift,62.6242,7.4937
N 446 M ,Tingvoll kirke,Tingvoll sn,Møre og Romsdal fylke,Tingvoll,,(62.9119 ; 8.1817),,,M 1200-t,,,sten,marmor,kvadersten,62.9119,8.1817
N 447 M ,Sunndal kirke,Sunndal sn,Møre og Romsdal fylke,Sunndal,Bergens museum (nr. 5460),,,,M,,,metall,järn,nyckel,,
N 448 †M ,Løykja kirke,Hof sn,Møre og Romsdal fylke,Sunndal,Kristiansunds museum,,,,M,,,sten,,gravhäll,,
N 449  ,Kuli,Edøy sn,Møre og Romsdal fylke,Smøla,"Vitenskapsmuseet, NTNU (10524)",,,A1; B2; 0; D1; 0; F3; 0,V,RAK,,sten,,runsten,,
N 450 U ,Strand,Åfjord sn,Sør-Trøndelag fylke,Åfjord,"Vitenskapsmuseet, NTNU (1010)",,16-typiga med inslag av 24-typiga,,U ca 650 - ca 700,,,metall,brons,spänne,,
N 451 M ,Rømmen,Jøssund sn,Sør-Trøndelag fylke,Bjugn,"Det kongelige norske videnskabers selskabs museum, Trondheim",,,,M m 1100-t,,,ben/horn,valrosstand,valrosstand,,
N 452 M ,Vågan,Hemne sn,Sør-Trøndelag fylke,Hemne,"Det kongelige norske videnskabers selskabs museum, Trondheim",,,,M 1100-t,,,sten,täljsten,sländhjul,,
N 453  ,Hårberg,Rissa sn,Sør-Trøndelag fylke,Rissa,,,,,V,,,sten,,runsten,,
N 454 M ,Grefstad,Meldal sn,Sør-Trøndelag fylke,Meldal,Meldals bygdemuseum,,,,M,,,trä,furu,stock,,
N 455 M ,Herrem,Rennebu sn,Sør-Trøndelag fylke,Rennebu,,,,,M,,,ben/horn,horn,dryckeshorn,,
N 456 M ,Ålen kirke,Ålen sn,Sør-Trøndelag fylke,Holtålen,Trondhjems folkemuseum,,,,M,,,trä,trä,träinskrift,,
N 457 M ,Skålvoll,,Sør-Trøndelag fylke,Melhus,Oldsaksamlingen (nr. 3632),,,,M 1200-1300-t,,,sten,,gravhäll,,
N 458  ,Gravråk,Melhus sn,Sør-Trøndelag fylke,Melhus,"Vitenskapsmuseet, NTNU",,,,V,,,sten,täljsten,sländhjul,,
N 459  ,Furen,Geitastrand sn,Sør-Trøndelag fylke,Orkdal,"Vitenskapsmuseet, NTNU (13221a)",,,,V?,,,sten,täljsten,vävlod,,
N 460 $M ,Selbu kirke,Selbu sn,Sør-Trøndelag fylke,Selbu,,(63.2163 ; 11.0425),,,M efter 1283 (Seim 2010) ,,,trä,trä,träinskrift,63.2163,11.0425
N 461 M ,Trondheim,Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 6430)",,,,M,,,ben/horn,ben,runben,,
N 462 M ,Trondheim,Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 5726)",,,,M,,,ben/horn,ben eller horn,kam,,
N 463 M ,Trondheim,Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 11208)",,,,M,,,trä,trä,trästycke,,
N 464 M ,Trondheim,Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 5750)",,,,M,,,trä,trä,trästycke,,
N 465 M ,Trondheim,Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 6244)",,,,M,,,trä,trä,skål,,
N 466 M ,Trondheim,Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 15739)",,,,M,,,trä,trä,trästycke,,
N 467 M ,Trondheim,Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 15821)",,,,M,,,ben/horn,horn,tving,,
N 468 M ,Trondheim,Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 16564)",,,,M,,,ben/horn,horn,kam,,
N 469 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 470 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 471 †M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 472 †M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 473 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,Domkyrkans museum (nr. 704),(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 474 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 475 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 476 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 477 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 478 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskaber selskabs museum, Trondheim (nr. 17093)",(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 479 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 480 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 481 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 482 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 483 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 484 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 485 †M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 486 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 487 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 488 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 489 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 490 †M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,gipsavgjutning i Oldsaksamlingen,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 491 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 492 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 493 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 494 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 495 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 496 †M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 497 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M 1317,,,sten,,mursten,63.4269,10.3969
N 498 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 499 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 500 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 501 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 502 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 503 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 504 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 505 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 506 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,,(63.4269 ; 10.3969),,,M,,,sten,,mursten,63.4269,10.3969
N 507 M ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 1473)",(63.4269 ; 10.3969),,,M 1479,,,metall,bly,platta,63.4269,10.3969
N 508 $ ,"Nidaros domkirke, Trondheim",Trondheim,Sør-Trøndelag fylke,Trondheim,I källaren.,(63.4269 ; 10.3969),,,V s 1000-t,,,sten,,gravsten,63.4269,10.3969
N 509 M ,Hegra kirke,Hegra sn,Nord-Trøndelag fylke,Stjørdal,,(63.4655 ; 11.1137),,,M?,,,sten,skiffer,runsten,63.4655,11.1137
N 510 M ,Hegra kirke,Hegra sn,Nord-Trøndelag fylke,Stjørdal,,(63.4655 ; 11.1137),,,M,,,sten,skiffer,runsten,63.4655,11.1137
N 511 M ,Myr,Skatval sn,Nord-Trøndelag fylke,Stjørdal,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 570)",,,,M,,,sten,,fast berg,,
N 512 †M ,Værnes kirke,Stjørdal sn (Værnes),Nord-Trøndelag fylke,Stjørdal,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr 2725)",(63.4543 ; 10.9549),,,M,,,sten,,gravhäll,63.4543,10.9549
N 513  ,Værnes kirke,Stjørdal sn (Værnes),Nord-Trøndelag fylke,Stjørdal,,(63.4543 ; 10.9549),,,V ca 1075,,,puts,kalkputs,putsinskrift,63.4543,10.9549
N 514  ,Værnes kirke,Stjørdal sn (Værnes),Nord-Trøndelag fylke,Stjørdal,,(63.4543 ; 10.9549),,,V ca 1075,,,puts,kalkputs,putsinskrift,63.4543,10.9549
N 515  ,Værnes kirke,Stjørdal sn (Værnes),Nord-Trøndelag fylke,Stjørdal,,(63.4543 ; 10.9549),,,V ca 1075,,,puts,kalkputs,putsinskrift,63.4543,10.9549
N 516  ,Værnes kirke,Stjørdal sn (Værnes),Nord-Trøndelag fylke,Stjørdal,,(63.4543 ; 10.9549),,,V ca 1075,,,puts,kalkputs,putsinskrift,63.4543,10.9549
N 517  ,Værnes kirke,Stjørdal sn (Værnes),Nord-Trøndelag fylke,Stjørdal,,(63.4543 ; 10.9549),,,V ca 1075,,,puts,kalkputs,putsinskrift,63.4543,10.9549
N 518  ,Værnes kirke,Stjørdal sn (Værnes),Nord-Trøndelag fylke,Stjørdal,,(63.4543 ; 10.9549),,,V ca 1075,,,puts,kalkputs,putsinskrift,63.4543,10.9549
N 519 $ ,"Ystines, Skrivarberget",Stjørdal sn,Nord-Trøndelag fylke,Stjørdal,,(63.4609 ; 11.0073),,,V,,,sten,,runhäll,63.4609,11.0073
N 520 † ,"Ystines, Skrivarberget",Stjørdal sn,Nord-Trøndelag fylke,Stjørdal,,(63.4609 ; 11.0073),,,V,,,sten,,runhäll,63.4609,11.0073
N 521 M ,"Ystines, Skrivarberget",Stjørdal sn,Nord-Trøndelag fylke,Stjørdal,,(63.4609 ; 11.0073),,,M,,,sten,,runhäll,63.4609,11.0073
N 522 M ,"Ystines, Skrivarberget",Stjørdal sn,Nord-Trøndelag fylke,Stjørdal,,(63.4609 ; 11.0073),,,M?,,,sten,,runhäll,63.4609,11.0073
N 523 M ,"Ystines, Skrivarberget",Stjørdal sn,Nord-Trøndelag fylke,Stjørdal,,(63.4609 ; 11.0073),,,M,,,sten,,runhäll,63.4609,11.0073
N 524 M ,"Ystines, Skrivarberget",Stjørdal sn,Nord-Trøndelag fylke,Stjørdal,,(63.4609 ; 11.0073),,,M,,,sten,,runhäll,63.4609,11.0073
N 525 M ,Logtun kirke,Frosta sn,Nord-Trøndelag fylke,Frosta,,(63.5672 ; 10.7018),,,M,,,trä,trä,träkista,63.5672,10.7018
N 526 M ,Sakshaug kirke,Inderøy sn,Nord-Trøndelag fylke,Inderøy,,(63.8751 ; 11.2681),,,M 1184,,,sten,täljsten,mursten,63.8751,11.2681
N 527 M ,Sakshaug kirke,Inderøy sn,Nord-Trøndelag fylke,Inderøy,,(63.8751 ; 11.2681),,,M 1184,,,puts,kalkputs,putsinskrift,63.8751,11.2681
N 528 M ,Sakshaug kirke,Inderøy sn,Nord-Trøndelag fylke,Inderøy,,(63.8751 ; 11.2681),,,M,,,sten,,kvadersten,63.8751,11.2681
N 529 M ,Sakshaug kirke,Inderøy sn,Nord-Trøndelag fylke,Inderøy,,(63.8751 ; 11.2681),,,M,,,sten,,mursten,63.8751,11.2681
N 530 M ,Sakshaug kirke,Inderøy sn,Nord-Trøndelag fylke,Inderøy,,(63.8751 ; 11.2681),,,M,,,sten,,kvadersten,63.8751,11.2681
N 531 M ,Sakshaug kirke,Inderøy sn,Nord-Trøndelag fylke,Inderøy,,(63.8751 ; 11.2681),,,M,,,trä,trä,träinskrift,63.8751,11.2681
N 532 M ,Sakshaug kirke,Inderøy sn,Nord-Trøndelag fylke,Inderøy,,(63.8751 ; 11.2681),,,M 1184,,,sten,,kvadersten,63.8751,11.2681
N 533 M ,Sakshaug kirke,Inderøy sn,Nord-Trøndelag fylke,Inderøy,,(63.8751 ; 11.2681),,,M,,,sten,,kvadersten,63.8751,11.2681
N 534 M ,Mære kirke,Mære sn,Nord-Trøndelag fylke,Steinkjer,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 2336)",(63.9339 ; 11.3948),,,M,,,ben/horn,ben,hårnål,63.9339,11.3948
N 535 M ,Helbostad,Namdalseid sn,Nord-Trøndelag fylke,Namdalseid,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 13107)",,,,M sista hälften av 1300-t,,,metall,silver,sölja,,
N 536 M ,For kirke,Stod sn,Nord-Trøndelag fylke,Steinkjer,"Det kongelige norske videnskabers selskabs museum, Trondheim (nr. 446)",,,,M tidigt 1200-t,,,sten,,gravhäll,,
N 537  ,Engstad,Ranem sn,Nord-Trøndelag fylke,Overhalla,"Vitenskapsmuseet, NTNU (15833d)",,,,V 800-900 (Imer 2007),,,ben/horn,ben,runben,,
N 538 M ,Hamarøy,Hamarøy sn,Nordland fylke,Hamarøy,"Historisk museum, Bergen (Ma. 431)",,,,M,,,ben/horn,kohorn,dryckeshorn,,
N 539 M ,?,?,Nordland fylke,?,Oldsaksamlingen,,,,M,,,sten,täljsten,sländhjul,,
N 540  ,Senja (Botnhamn),Lenvik sn,Troms fylke,Lenvik,Tromsø museum (1649),,,,V 1000-1100 (Imer 2007),,,metall,silver,halsring,,
N 541  ,?,?,?,?,"Nationalmuseet, København (9084)",,,,V,,,metall,koppar,relikskrin,,
N 542  ,?,?,?,?,"Nationalmuseet, København (768)",,,,V,,,metall,brons,yxa,,
